ens_gene,target_id,ext_gene,complex
WBGene00003922,pas-1,C15H11.7,proteasome complex
WBGene00003923,pas-2,D1054.2,proteasome complex
WBGene00003924,pas-3,Y110A7A.14,proteasome complex
WBGene00003925,pas-4,C36B1.4,proteasome complex
WBGene00003926,pas-5,F25H2.9,proteasome complex
WBGene00003927,pas-6,CD4.6,proteasome complex
WBGene00003928,pas-7,ZK945.2,proteasome complex
WBGene00003947,pbs-1,K08D12.1,proteasome complex
WBGene00003948,pbs-2,C47B2.4,proteasome complex
WBGene00003949,pbs-3,Y38A8.2,proteasome complex
WBGene00003950,pbs-4,T20F5.2,proteasome complex
WBGene00003951,pbs-5,K05C4.1,proteasome complex
WBGene00003952,pbs-6,C02F5.9,proteasome complex
WBGene00003953,pbs-7,F39H11.5,proteasome complex
WBGene00004458,rpn-1,T22D1.9,proteasome complex
WBGene00004459,rpn-2,C23G10.4,proteasome complex
WBGene00004460,rpn-3,C30C11.2,proteasome complex
WBGene00004461,rpn-5,F10G7.8,proteasome complex
WBGene00004462,rpn-6.1,F57B9.10,proteasome complex
WBGene00004463,rpn-7,F49C12.8,proteasome complex
WBGene00004464,rpn-8,R12E2.3,proteasome complex
WBGene00004465,rpn-9,T06D8.8,proteasome complex
WBGene00004466,rpn-10,B0205.3,proteasome complex
WBGene00004467,rpn-11,K07D4.3,proteasome complex
WBGene00004468,rpn-12,ZK20.5,proteasome complex
WBGene00004501,rpt-1,C52E4.4,proteasome complex
WBGene00004502,rpt-2,F29G9.5,proteasome complex
WBGene00004503,rpt-3,F23F12.6,proteasome complex
WBGene00004504,rpt-4,F23F1.8,proteasome complex
WBGene00004505,rpt-5,F56H1.4,proteasome complex
WBGene00004506,rpt-6,Y49E10.1,proteasome complex
WBGene00006856,usp-14,C13B4.2,proteasome complex
WBGene00009445,,F35G12.12,proteasome complex
WBGene00010309,rpn-6.2,F59B2.5,proteasome complex
WBGene00013435,,Y66D12A.9,proteasome complex
WBGene00015688,,C10G11.8,proteasome complex
WBGene00016623,psmd-9,C44B7.1,proteasome complex
WBGene00016981,rpn-13,C56G2.7,proteasome complex
WBGene00018991,,F56F11.4,proteasome complex
WBGene00022492,dss-1,Y119D3B.15,proteasome complex