ext_gene,b_e,b_b,q_e,q_b,q_d,q_c,q_a
acdh-1,-0.46339915170884005,-1.1290069813705501,2.4823859078026505e-09,4.28113782525458e-09,0.0241088087741842,3.65092487585604e-26,1.5740178516466997e-63
F54D5.12,-0.613180754180773,-0.83248623518445,2.56057178443585e-20,7.36616792704793e-33,8.47738172877395e-17,1.6474500165631e-12,1.3048909671761999e-48
T15B7.1,-0.86243452692322,-0.8510813839988659,2.74173578800711e-39,4.36723952481801e-35,6.62678538572076e-05,7.862129359751759e-20,8.255991879814879e-38
ugt-12,-0.469813584301275,-1.16298470433072,0.00176555306015275,1.8393789475136103e-15,0.000394108557915925,0.0017120659116571099,8.677798629512731e-32
ahcy-1,-0.7411737034340992,-0.7446405978449059,2.09128835301834e-15,4.49135792502738e-19,0.0007637949741565599,0.0108995238598873,1.36941592087328e-29
col-95,-1.4990316483873303,-1.42166433541162,2.8026886034573197e-24,3.28960847926325e-05,6.57217741341525e-05,9.26506490468067e-05,3.8710196403096495e-23
F23A7.4,-0.682595592452219,-0.7494650571425079,5.991224667668379e-28,5.91482598847321e-14,0.0306289582063566,0.00119380300253719,1.08291024846162e-22
Y38F1A.6,-0.559864683639497,-0.929519759233442,2.1360794906455303e-13,1.0826148498753199e-17,0.0131933475510022,3.32609465191685e-20,9.62703682542476e-22
C05C10.3,-0.364805365793932,-0.524209147906094,1.71747650826539e-05,2.27297543978447e-13,0.008306605644550259,1.86378243360517e-07,1.2205633818071699e-21
ech-6,-0.875100438392959,-0.925760580663969,4.1033120952157197e-16,6.7889958911046e-08,3.7433498648106603e-07,0.000163427802047222,8.80171674355798e-19
ZK1320.9,-0.502836056418171,-0.6131732754242181,1.39974066708929e-10,2.37289045080546e-13,2.5323353532627e-07,0.0601787027084391,1.91519523680505e-14
prmt-1,-0.38567902112887203,-0.41635502863092,2.4960940982020103e-09,5.4219729747757395e-09,0.0449568780201915,0.00933947107432922,2.9256365412236303e-13
hsp-60,-0.612435909110486,-0.41932514296173995,2.32203394202482e-15,2.4016261269098e-07,0.0006096734342696389,0.017113779751206,2.06376913309632e-12
pdhb-1,-0.511647199350098,-0.49915050419926793,2.49991002497637e-12,1.92938863842405e-10,5.00739574007351e-08,0.0683862439160341,2.12080558604302e-12
,-1.1737599512216799,-0.7886702581934459,7.53052902943053e-36,0.000214547718216751,0.00637717416732801,0.010820462600752,1.18060333184556e-11
cyp-34A4,-1.27109239589385,-3.23106151579508,1.56639901598758e-10,1.02781487693311e-11,3.8543883422397204e-11,0.00133181330270909,3.7332125178950393e-11
kat-1,-0.571608889738383,-0.6864428647403389,1.57882709949292e-08,1.08165393863827e-09,0.018443169721872,0.0367279236455129,2.1599362230604197e-10
odc-1,-0.338687317597682,-0.645253699734342,0.00274021750376465,5.08511979006388e-08,0.0108535610827414,0.0580626129234636,1.6107425960731602e-09
pmp-5,-0.257256001795985,-0.804903058359414,0.0834941624957748,0.0010672234969208599,0.0145755129170926,8.6160566912519e-06,2.2710258205322698e-09
rpl-11.1,-0.44177602338852795,-0.308487885168169,2.32662899921843e-07,4.6492674147212895e-05,0.0361995196612037,0.0369963321496036,3.00614023549591e-09
Y66D12A.9,-0.45340461262905607,-0.570075193967,7.442891152176249e-06,2.35352440387065e-05,0.0844070267082784,0.0340380843279433,4.29025099849696e-09
F26F12.3,-0.28660628133198807,-0.544192395960141,0.0431930061807666,0.00316007969430283,3.15733403995128e-05,0.0466568842513537,1.01580602801009e-08
Y48A6B.3,-0.40503164245921996,-0.325454278471898,1.27479586912444e-06,0.0005391146994854019,0.008306605644550259,0.0872736662029321,1.42365751320007e-08
T26G10.1,-0.365395753157155,-0.274656950155815,4.03467168744779e-05,0.00902024730396475,0.0062795397987761604,0.0628131987409834,4.06651086466151e-08
iff-1,-0.496025515346305,-0.34566207622845696,8.62458165878469e-08,0.0012892922717861,0.0133014297089712,0.004731780572444029,1.49038722867716e-07
rpl-35,-0.37021801595225795,-0.22072075713649303,3.16870175747324e-08,0.00738380486256021,0.052130527078876,0.0638844982116052,1.7523222913575302e-07
Y39G10AR.8,-0.34214989015811703,-0.26043827725162194,1.11623878693005e-06,0.00124253304667285,0.08314667383257202,0.0552231627370642,2.8548529762255697e-07
rrbs-1,-0.480013528579372,-0.243624276756638,1.8898768947490197e-07,0.0425922674702129,0.00233755785162722,0.0698417975907558,8.44540801521015e-07
dhs-25,-1.0528907366729399,-1.26085856290774,4.219162995415849e-25,4.7644660866388e-16,0.018443169721872,7.308029940849001e-11,1.2263395353738399e-06
Y54E10A.10,-0.296381777331836,-0.328826362766857,0.0021499021838642103,0.00646116240234592,0.00568744895245384,0.0722596059282796,1.2561798361287401e-05
cct-1,-0.3579875986953,-0.303218269838109,8.072592838217751e-06,0.000136341231463707,0.0104052653133144,3.02663374012808e-08,1.2688684742836301e-05
rps-26,-0.40232390335802704,-0.262621945737533,1.81682346984876e-07,0.0033486142055341303,0.0774845487860807,0.0482673709161626,1.3761249205443e-05
msra-1,-1.30674797221134,-1.97890284595225,5.48430170872434e-13,3.9342162739494297e-13,0.00201784437859118,3.6771054845678796e-07,3.2718622576819e-05
lis-1,-0.32822548022755893,-0.343947347497425,0.000682336368652917,0.00119639547309781,0.0038347688303263603,0.011721756332823999,4.7502070363904495e-05
F19B6.1,-0.6015441819306129,-0.46228189678379106,2.9872882142934897e-06,0.0295369721486319,0.000104818130648127,0.056662023633517,9.71555475948599e-05
Y39B6A.33,-0.501784952201048,-0.305926000236327,5.405239204543e-06,0.00596075540896088,8.96595640108254e-06,0.0488066261576937,0.000143697223654469
let-60,-0.32544464463042305,-0.268138495986884,0.000171536066049471,0.00786185653162971,0.0426410701572944,0.0342456999585953,0.000359807686711092
C01G10.8,-0.491557680736437,-0.340970602406317,7.37334573960009e-05,0.0017766638127126699,0.007752837320955329,0.00767934967445593,0.000378302686225947
Y69A2AR.25,-1.62355385128874,-0.715005837476708,5.48769885798592e-06,0.0797816422291642,0.00330948214933636,0.0034741380955312802,0.00042022532943538596
cct-5,-0.558436265795571,-0.48529996140146003,0.0077479356651793,0.000126218528835928,0.0296738169652091,0.0418763722375275,0.000502445053858717
ZC395.10,-0.360432533107725,-0.295978535607588,0.0288419458039689,0.0338205871032279,0.0353485072686174,0.0567990001092045,0.0008817467843506529
uaf-1,-0.477278088210859,-0.52031014354699,0.00253508139156436,0.0036664500527789205,0.0234022382261936,0.0194578272512232,0.0012203342472065
act-2,-0.392854178957193,-0.360566605051697,4.3468638184858104e-07,0.000159727486641184,0.015966913253578,0.038860718613847,0.00141886987306923
cct-7,-0.406559535060926,-0.34747582554915996,0.000333606724771287,1.9654005899594e-05,0.00035935463804735897,0.000256130869274778,0.0016389215568180099
spat-2,-0.43063082019719706,-0.23011003813197,2.96452739367027e-06,0.0524251465920538,0.000830744219102273,0.0558440814239619,0.00259096476551366
snr-2,-0.25262228826212196,-0.301727734362319,0.0361713034883514,0.00047880049748699006,0.0117863940428847,0.0273694971011236,0.00269383754598722
pfd-5,-0.5036432278305409,-0.32269372418239,1.28922785379425e-05,0.027336213605383002,0.00628879606762318,0.0190795254875019,0.007245287005830279
,-0.309945791676093,-0.27349468680515604,0.0132867632564942,0.00032499849203051497,0.0550158063905561,0.00626192213660077,0.0113511720792132
dnj-12,-0.515562287194427,-0.5144946241117271,0.00322026960262626,0.000681385844893399,0.0550277895132227,0.0065387928042292395,0.0266666309419405
hsp-110,-0.49052380109220795,-0.32483158881244106,0.00449745179868285,0.00151687775954546,0.000994414570907404,0.00491792404408988,0.0517152869863527
